policy,n,verify_n,verify_rate,success,irreversible_failure,avg_net_reward,avg_verification_cost,avg_selected_branch_harm,avg_skipped_branch_harm
p_only_eval,200,100,0.5,0.79,0.21,2.8707500000000197,0.25,11.861799999999999,12.658499999999998
H_only_eval,200,100,0.5,0.79,0.21,3.09155000000002,0.25,12.303400000000003,12.216900000000008
p_times_H_eval,200,100,0.5,0.795,0.205,3.171700000000019,0.25,12.463699999999996,12.056600000000003
PRM_task_fail_eval,200,100,0.5,0.805,0.195,3.255500000000022,0.25,12.631300000000001,11.889000000000001
PRM_value_gain_eval,200,100,0.5,0.805,0.195,3.3239000000000214,0.25,12.768099999999999,11.752200000000002
