episode_id,case,policy,seed,verify_used,corrected,success,irreversible_failure,verification_cost,net_reward,realized_reward,public_risk_label,public_risk_score,branch_harm_exact,reward_wrong_continuation,reward_corrected_continuation,reversibility,coupling_strength,mode,final_action,policy_score,p_score,harm_score,p_times_H_score,downstream_dependency_count,rollback_difficulty,persistent_state_risk,estimated_harm_score,downstream_failure_penalty,harm_profile,uncertainty_threshold,harm_threshold,random_verify_prob,notes
revision_depheld_always_verify_s438,dep_sensitive_held_out,always_verify,438,1,0,1,0,0.5,9.2,9.2,low,0.26,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.26,0.594,0.15444,4,0.7,0,0.594,9.925,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s439,dep_sensitive_held_out,always_verify,439,1,0,1,0,0.5,9.2,9.2,low,0.309,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.309,0.714,0.220626,6,0.2,1,0.714,11.425,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s440,dep_sensitive_held_out,always_verify,440,1,1,1,0,0.5,9.2,9.2,medium,0.553,35.0,-25.8,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.553,1.0,0.553,9,0.7,1,1.0,15.0,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s441,dep_sensitive_held_out,always_verify,441,1,1,1,0,0.5,9.2,9.2,low,0.398,33.3625,-24.1625,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.398,0.869,0.345862,9,0.7,0,0.869,13.3625,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s442,dep_sensitive_held_out,always_verify,442,1,0,1,0,0.5,9.2,9.2,medium,0.486,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.486,0.688,0.33436799999999994,4,0.4,1,0.688,11.1,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s443,dep_sensitive_held_out,always_verify,443,1,0,1,0,0.5,9.2,9.2,low,0.265,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.265,0.963,0.255195,9,0.4,1,0.963,14.5375,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s444,dep_sensitive_held_out,always_verify,444,1,1,1,0,0.5,9.2,9.2,medium,0.514,32.875,-23.675,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.514,0.83,0.42662,2,1.0,1,0.83,12.875,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s445,dep_sensitive_held_out,always_verify,445,1,0,1,0,0.5,9.2,9.2,low,0.332,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.332,0.94,0.31208,4,1.0,1,0.94,14.25,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s446,dep_sensitive_held_out,always_verify,446,1,0,1,0,0.5,9.2,9.2,low,0.171,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.171,0.963,0.164673,9,0.4,1,0.963,14.5375,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s447,dep_sensitive_held_out,always_verify,447,1,1,1,0,0.5,9.2,9.2,low,0.263,3.5999999999999996,5.6,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.263,0.94,0.24722,4,1.0,1,0.94,14.25,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s448,dep_sensitive_held_out,always_verify,448,1,0,1,0,0.5,9.2,9.2,low,0.266,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.266,0.83,0.22078,2,1.0,1,0.83,12.875,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s449,dep_sensitive_held_out,always_verify,449,1,1,1,0,0.5,9.2,9.2,low,0.097,28.349999999999998,-19.15,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.097,0.468,0.045396000000000006,4,0.4,0,0.468,8.35,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s450,dep_sensitive_held_out,always_verify,450,1,1,1,0,0.5,9.2,9.2,medium,0.436,28.55,-19.35,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.436,0.484,0.211024,2,0.7,0,0.484,8.55,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s451,dep_sensitive_held_out,always_verify,451,1,1,1,0,0.5,9.2,9.2,medium,0.51,3.5999999999999996,5.6,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.51,0.814,0.41513999999999995,4,0.7,1,0.814,12.675,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s452,dep_sensitive_held_out,always_verify,452,1,1,1,0,0.5,9.2,9.2,low,0.394,28.675,-19.475,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.394,0.494,0.194636,6,0.2,0,0.494,8.675,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s453,dep_sensitive_held_out,always_verify,453,1,0,1,0,0.5,9.2,9.2,medium,0.551,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.551,0.358,0.19725800000000002,2,0.4,0,0.358,6.975,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s454,dep_sensitive_held_out,always_verify,454,1,0,1,0,0.5,9.2,9.2,medium,0.4,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.4,0.995,0.398,9,1.0,0,0.995,14.9375,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s455,dep_sensitive_held_out,always_verify,455,1,0,1,0,0.5,9.2,9.2,low,0.053,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.053,0.83,0.043989999999999994,2,1.0,1,0.83,12.875,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s456,dep_sensitive_held_out,always_verify,456,1,0,1,0,0.5,9.2,9.2,low,0.382,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.382,0.714,0.272748,6,0.2,1,0.714,11.425,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s457,dep_sensitive_held_out,always_verify,457,1,1,1,0,0.5,9.2,9.2,low,0.347,30.05,-20.85,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.347,0.604,0.20958799999999997,4,0.2,1,0.604,10.05,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s458,dep_sensitive_held_out,always_verify,458,1,0,1,0,0.5,9.2,9.2,low,0.203,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.203,1.0,0.203,12,0.2,1,1.0,15.0,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s459,dep_sensitive_held_out,always_verify,459,1,0,1,0,0.5,9.2,9.2,low,0.047,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.047,1.0,0.047,12,0.7,0,1.0,15.0,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s460,dep_sensitive_held_out,always_verify,460,1,0,1,0,0.5,9.2,9.2,low,0.117,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.117,0.578,0.067626,6,0.4,0,0.578,9.725,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s461,dep_sensitive_held_out,always_verify,461,1,1,1,0,0.5,9.2,9.2,medium,0.469,35.0,-25.8,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.469,1.0,0.469,12,0.7,0,1.0,15.0,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s462,dep_sensitive_held_out,always_verify,462,1,0,1,0,0.5,9.2,9.2,medium,0.468,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.468,0.704,0.329472,6,0.7,0,0.704,11.3,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s463,dep_sensitive_held_out,always_verify,463,1,0,1,0,0.5,9.2,9.2,low,0.188,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.188,0.995,0.18706,9,1.0,0,0.995,14.9375,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s464,dep_sensitive_held_out,always_verify,464,1,1,1,0,0.5,9.2,9.2,low,0.205,35.0,-25.8,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.205,1.0,0.205,9,1.0,1,1.0,15.0,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s465,dep_sensitive_held_out,always_verify,465,1,0,1,0,0.5,9.2,9.2,low,0.101,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.101,1.0,0.101,6,1.0,1,1.0,15.0,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s466,dep_sensitive_held_out,always_verify,466,1,0,1,0,0.5,9.2,9.2,medium,0.411,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.411,0.704,0.289344,2,0.7,1,0.704,11.3,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s467,dep_sensitive_held_out,always_verify,467,1,1,1,0,0.5,9.2,9.2,medium,0.549,3.5999999999999996,5.6,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.549,1.0,0.549,12,0.4,1,1.0,15.0,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s468,dep_sensitive_held_out,always_verify,468,1,0,1,0,0.5,9.2,9.2,low,0.324,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.324,0.688,0.222912,4,0.4,1,0.688,11.1,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s469,dep_sensitive_held_out,always_verify,469,1,1,1,0,0.5,9.2,9.2,low,0.233,35.0,-25.8,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.233,1.0,0.233,6,1.0,1,1.0,15.0,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s470,dep_sensitive_held_out,always_verify,470,1,0,1,0,0.5,9.2,9.2,medium,0.583,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.583,1.0,0.583,9,0.7,1,1.0,15.0,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s471,dep_sensitive_held_out,always_verify,471,1,0,1,0,0.5,9.2,9.2,medium,0.542,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.542,0.72,0.39024000000000003,4,1.0,0,0.72,11.5,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s472,dep_sensitive_held_out,always_verify,472,1,1,1,0,0.5,9.2,9.2,low,0.33,32.8,-23.6,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.33,0.824,0.27192,12,0.2,0,0.824,12.8,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s473,dep_sensitive_held_out,always_verify,473,1,1,1,0,0.5,9.2,9.2,low,0.065,31.3,-22.1,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.065,0.704,0.04576,6,0.7,0,0.704,11.3,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s474,dep_sensitive_held_out,always_verify,474,1,0,1,0,0.5,9.2,9.2,low,0.264,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.264,0.494,0.130416,6,0.2,0,0.494,8.675,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s475,dep_sensitive_held_out,always_verify,475,1,1,1,0,0.5,9.2,9.2,low,0.088,3.5999999999999996,5.6,9.2,partially_reversible,strong,verify_then_decide,safe_edit,1.0,0.088,0.688,0.060543999999999994,4,0.4,1,0.688,11.1,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s476,dep_sensitive_held_out,always_verify,476,1,0,1,0,0.5,9.2,9.2,low,0.072,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.072,0.814,0.05860799999999999,4,0.7,1,0.814,12.675,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
revision_depheld_always_verify_s477,dep_sensitive_held_out,always_verify,477,1,0,1,0,0.5,9.2,9.2,low,0.345,0.0,9.2,9.2,partially_reversible,strong,verify_then_decide,risky_patch,1.0,0.345,0.494,0.17043,2,0.2,1,0.494,8.675,dependency_structural_heldout,0.6,0.45,0.5,Always verify before finalizing.
