episode_id,case,policy,seed,verify_used,corrected,success,irreversible_failure,verification_cost,net_reward,realized_reward,public_risk_label,public_risk_score,branch_harm_exact,reward_wrong_continuation,reward_corrected_continuation,reversibility,coupling_strength,mode,final_action,policy_score,p_score,harm_score,p_times_H_score,downstream_dependency_count,rollback_difficulty,persistent_state_risk,estimated_harm_score,downstream_failure_penalty,harm_profile,uncertainty_threshold,harm_threshold,random_verify_prob,notes
revision_table5_exactTopB150_repl_H_only_s47,dependency_sensitive,H_only,47,0,0,1,0,0.0,9.2,9.2,medium,0.622,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.5025,0.622,0.5025,0.31255499999999997,2,0.75,0,0.5025,8.03,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.5025, verify=False"
revision_table5_exactTopB150_repl_H_only_s49,dependency_sensitive,H_only,49,0,0,1,0,0.0,9.2,9.2,high,0.75,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.615,0.75,0.615,0.46125,2,0.5,1,0.615,9.38,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.6150, verify=False"
revision_table5_exactTopB150_repl_H_only_s50,dependency_sensitive,H_only,50,0,0,1,0,0.0,9.2,9.2,low,0.256,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.415,0.256,0.415,0.10624,2,0.5,0,0.415,6.98,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.4150, verify=False"
revision_table5_exactTopB150_repl_H_only_s51,dependency_sensitive,H_only,51,0,0,0,1,0.0,-20.18,-20.18,low,0.348,29.38,-20.18,9.2,partially_reversible,strong,direct,risky_patch,0.615,0.348,0.615,0.21402,2,0.5,1,0.615,9.38,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.6150, verify=False"
revision_table5_exactTopB150_repl_H_only_s53,dependency_sensitive,H_only,53,0,0,1,0,0.0,5.6,5.6,medium,0.483,3.5999999999999996,5.6,9.2,partially_reversible,strong,direct,risky_patch,0.52,0.483,0.52,0.25116,1,1.0,0,0.52,8.24,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.5200, verify=False"
revision_table5_exactTopB150_repl_H_only_s55,dependency_sensitive,H_only,55,0,0,1,0,0.0,9.2,9.2,medium,0.463,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.5275,0.463,0.5275,0.2442325,2,0.25,1,0.5275,8.33,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.5275, verify=False"
revision_table5_exactTopB150_repl_H_only_s56,dependency_sensitive,H_only,56,0,0,1,0,0.0,9.2,9.2,low,0.332,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.615,0.332,0.615,0.20418,2,0.5,1,0.615,9.38,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.6150, verify=False"
revision_table5_exactTopB150_repl_H_only_s65,dependency_sensitive,H_only,65,0,0,1,0,0.0,9.2,9.2,high,0.708,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.4575,0.708,0.4575,0.32391,1,0.25,1,0.4575,7.49,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.4575, verify=False"
revision_table5_exactTopB150_repl_H_only_s66,dependency_sensitive,H_only,66,0,0,1,0,0.0,9.2,9.2,high,0.753,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.4325,0.753,0.4325,0.3256725,1,0.75,0,0.4325,7.19,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.4325, verify=False"
revision_table5_exactTopB150_repl_H_only_s70,dependency_sensitive,H_only,70,0,0,1,0,0.0,9.2,9.2,low,0.278,0.0,9.2,9.2,partially_reversible,strong,direct,risky_patch,0.5975,0.278,0.5975,0.16610500000000003,3,0.25,1,0.5975,9.17,dependency_structural,1.1,1.1,0.5,"Ablation H_only: H >= 1.1000. H=0.5975, verify=False"
